grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
50-69,Mujer,29,19 Jul - 25 Jul 20,73,-13.1,10.4
50-69,Mujer,30,26 Jul - 01 Aug 20,68,-6.8,9.7
50-69,Mujer,31,02 Aug - 08 Aug 20,80,17.6,11.4
50-69,Mujer,32,09 Aug - 15 Aug 20,53,-33.8,7.6
50-69,Mujer,33,16 Aug - 22 Aug 20,53,0.0,7.6
50-69,Mujer,34,23 Aug - 29 Aug 20,43,-18.9,6.1
50-69,Mujer,35,30 Aug - 05 Sep 20,67,55.8,9.6
50-69,Mujer,36,06 Sep - 12 Sep 20,33,-50.7,4.7
50-69,Mujer,37,13 Sep - 19 Sep 20,49,48.5,7.0
50-69,Mujer,38,20 Sep - 26 Sep 20,53,8.2,7.6
50-69,Mujer,39,27 Sep - 03 Oct 20,38,-28.3,5.4
50-69,Mujer,40,04 Oct - 10 Oct 20,56,47.4,8.0
50-69,Mujer,41,11 Oct - 17 Oct 20,39,-30.4,5.6
50-69,Mujer,42,18 Oct - 24 Oct 20,45,15.4,6.4
50-69,Mujer,43,25 Oct - 31 Oct 20,39,-13.3,5.6
50-69,Mujer,44,01 Nov - 07 Nov 20,43,10.3,6.1
50-69,Mujer,45,08 Nov - 14 Nov 20,39,-9.3,5.6
50-69,Mujer,46,15 Nov - 21 Nov 20,36,-7.7,5.1
50-69,Mujer,47,22 Nov - 28 Nov 20,35,-2.8,5.0
50-69,Mujer,48,29 Nov - 05 Dec 20,42,20.0,6.0
50-69,Mujer,49,06 Dec - 12 Dec 20,22,-47.6,3.1
50-69,Mujer,50,13 Dec - 19 Dec 20,39,77.3,5.6
50-69,Mujer,51,20 Dec - 26 Dec 20,41,5.1,5.9
50-69,Mujer,52,27 Dec - 02 Jan 21,28,-31.7,4.0
50-69,Mujer,53,03 Jan - 09 Jan 21,51,82.1,7.3
50-69,Mujer,54,10 Jan - 16 Jan 21,55,7.8,7.9
50-69,Mujer,55,17 Jan - 23 Jan 21,74,34.5,10.6
50-69,Mujer,56,24 Jan - 30 Jan 21,73,-1.4,10.4
50-69,Mujer,57,31 Jan - 06 Feb 21,64,-12.3,9.1
50-69,Mujer,58,07 Feb - 13 Feb 21,83,29.7,11.9
50-69,Mujer,59,14 Feb - 20 Feb 21,75,-9.6,10.7
50-69,Mujer,60,21 Feb - 27 Feb 21,67,-10.7,9.6
50-69,Mujer,61,28 Feb - 06 Mar 21,72,7.5,10.3
50-69,Mujer,62,07 Mar - 13 Mar 21,81,12.5,11.6
50-69,Mujer,63,14 Mar - 20 Mar 21,91,12.3,13.0
50-69,Mujer,64,21 Mar - 27 Mar 21,111,22.0,15.9
50-69,Mujer,65,28 Mar - 31 Mar 21,61,-45.0,15.2
<30,Hombre,16,19 Apr - 25 Apr 20,1,-98.4,0.1
