grupo_etario,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
<30,29,19 Jul - 25 Jul 20,4,-33.3,0.6
<30,30,26 Jul - 01 Aug 20,7,75.0,1.0
<30,31,02 Aug - 08 Aug 20,7,0.0,1.0
<30,32,09 Aug - 15 Aug 20,4,-42.9,0.6
<30,33,16 Aug - 22 Aug 20,2,-50.0,0.3
<30,34,23 Aug - 29 Aug 20,7,250.0,1.0
<30,35,30 Aug - 05 Sep 20,4,-42.9,0.6
<30,36,06 Sep - 12 Sep 20,4,0.0,0.6
<30,37,13 Sep - 19 Sep 20,6,50.0,0.9
<30,38,20 Sep - 26 Sep 20,1,-83.3,0.1
<30,39,27 Sep - 03 Oct 20,4,300.0,0.6
<30,40,04 Oct - 10 Oct 20,4,0.0,0.6
<30,41,11 Oct - 17 Oct 20,3,-25.0,0.4
<30,42,18 Oct - 24 Oct 20,3,0.0,0.4
<30,43,25 Oct - 31 Oct 20,2,-33.3,0.3
<30,44,01 Nov - 07 Nov 20,5,150.0,0.7
<30,45,08 Nov - 14 Nov 20,5,0.0,0.7
<30,46,15 Nov - 21 Nov 20,3,-40.0,0.4
<30,47,22 Nov - 28 Nov 20,2,-33.3,0.3
<30,48,29 Nov - 05 Dec 20,2,0.0,0.3
<30,49,06 Dec - 12 Dec 20,3,50.0,0.4
<30,50,13 Dec - 19 Dec 20,5,66.7,0.7
<30,51,20 Dec - 26 Dec 20,2,-60.0,0.3
<30,52,27 Dec - 02 Jan 21,3,50.0,0.4
<30,53,03 Jan - 09 Jan 21,8,166.7,1.1
<30,54,10 Jan - 16 Jan 21,4,-50.0,0.6
<30,55,17 Jan - 23 Jan 21,6,50.0,0.9
<30,56,24 Jan - 30 Jan 21,5,-16.7,0.7
<30,57,31 Jan - 06 Feb 21,6,20.0,0.9
<30,58,07 Feb - 13 Feb 21,11,83.3,1.6
<30,59,14 Feb - 20 Feb 21,6,-45.5,0.9
<30,60,21 Feb - 27 Feb 21,5,-16.7,0.7
<30,61,28 Feb - 06 Mar 21,8,60.0,1.1
<30,62,07 Mar - 13 Mar 21,11,37.5,1.6
<30,63,14 Mar - 20 Mar 21,9,-18.2,1.3
<30,64,21 Mar - 27 Mar 21,10,11.1,1.4
<30,65,28 Mar - 31 Mar 21,5,-50.0,1.2
>=70,11,16 Mar - 21 Mar 20,4,-20.0,0.7
>=70,12,22 Mar - 28 Mar 20,13,225.0,1.9
>=70,13,29 Mar - 04 Apr 20,40,207.7,5.7
>=70,14,05 Apr - 11 Apr 20,65,62.5,9.3
>=70,15,12 Apr - 18 Apr 20,58,-10.8,8.3
>=70,16,19 Apr - 25 Apr 20,74,27.6,10.6
>=70,17,26 Apr - 02 May 20,101,36.5,14.4
>=70,18,03 May - 09 May 20,147,45.5,21.0
>=70,19,10 May - 16 May 20,244,66.0,34.9
>=70,20,17 May - 23 May 20,474,94.3,67.7
>=70,21,24 May - 30 May 20,773,63.1,110.4
>=70,22,31 May - 06 Jun 20,1005,30.0,143.6
>=70,23,07 Jun - 13 Jun 20,1109,10.3,158.4
>=70,24,14 Jun - 20 Jun 20,1002,-9.6,143.1
>=70,25,21 Jun - 27 Jun 20,817,-18.5,116.7
>=70,26,28 Jun - 04 Jul 20,682,-16.5,97.4
>=70,27,05 Jul - 11 Jul 20,578,-15.2,82.6
>=70,28,12 Jul - 18 Jul 20,504,-12.8,72.0
>=70,29,19 Jul - 25 Jul 20,441,-12.5,63.0
